node_index,is_stop_only,pos_x,pos_y,osmid,y,x
349,FALSE,584917.2357,4131991.778,65427256,37.3307179,-122.0414616
350,FALSE,584823.0943,4131991.989,65427258,37.3307284,-122.0425241
351,FALSE,584563.9986,4131943.576,65427275,37.3303157,-122.0454539
352,FALSE,584479.7188,4131942.858,65427279,37.3303169,-122.0464052
353,FALSE,585322.7251,4131941.024,65427290,37.3302233,-122.0368909
354,FALSE,585515.7332,4131943.959,65427295,37.330232,-122.0347122
355,FALSE,590109.6974,4137273.433,65427483,37.3778293,-121.9822152
356,FALSE,581793.1701,4131673.715,65427870,37.3281317,-122.0767566
357,FALSE,581732.459,4131719.057,65427873,37.3285457,-122.0774368
358,FALSE,584139.1424,4129921.829,65428001,37.3121329,-122.0504783
359,FALSE,584280.1511,4129923.569,65428002,37.3121358,-122.048887
360,FALSE,586362.8693,4132830.982,65428300,37.338148,-122.0250478
361,FALSE,586362.8227,4132775.415,65428301,37.3376472,-122.0250548
362,FALSE,592138.6958,4135031.054,65428612,37.3574207,-121.9595803
363,FALSE,591987.5031,4135027.78,65428613,37.3574062,-121.9612877
364,FALSE,591836.9058,4135025.947,65428614,37.3574046,-121.9629882
365,FALSE,591660.4404,4135026.996,65428617,37.3574315,-121.9649804
366,FALSE,586271.6125,4130689.288,65428681,37.3188542,-122.026327
367,FALSE,586436.385,4130531.344,65428690,37.3174154,-122.024486
368,FALSE,592147.4141,4134588.726,65428730,37.3534334,-121.9595369
369,FALSE,592060.8601,4134588.394,65428733,37.353439,-121.9605141
370,FALSE,591967.0239,4134587.373,65428736,37.3534391,-121.9615736
371,FALSE,591895.2341,4134587.194,65428739,37.3534446,-121.9623841
372,FALSE,591819.7546,4134586.653,65428741,37.3534472,-121.9632363
373,FALSE,591747.0296,4134586.954,65428743,37.3534571,-121.9640573
374,FALSE,591669.2116,4134564.608,65428744,37.3532634,-121.9649386
375,FALSE,592149.3317,4131730.503,65428897,37.3276737,-121.9598706
376,FALSE,592146.5878,4131904.887,65428898,37.3292456,-121.9598799
377,FALSE,592145.4622,4131983.788,65428899,37.3299568,-121.9598828
378,FALSE,584154.831,4128847.971,65429302,37.3024531,-122.050423
379,FALSE,584088.3071,4128847.448,65429304,37.3024544,-122.0511736
380,FALSE,585995.9222,4132638.134,65429337,37.336444,-122.0292121
381,FALSE,583562.1524,4128773.958,65429382,37.3018395,-122.0571181
382,FALSE,589578.1137,4134559.156,65429427,37.3534185,-121.988547
383,FALSE,589401.8672,4134554.751,65429431,37.3533958,-121.9905373
384,FALSE,592705.9953,4133702.107,65429701,37.3453872,-121.9533417
385,FALSE,584072.6833,4129452.158,65429867,37.3079059,-122.0512814
386,FALSE,584067.215,4129370.907,65429869,37.3071741,-122.0513523
387,FALSE,585702.507,4133364.312,65430084,37.3430159,-122.03244
388,FALSE,585549.6214,4133362.725,65430086,37.3430157,-122.034166
389,FALSE,585472.0269,4133361.932,65430088,37.3430157,-122.035042
390,FALSE,585365.0513,4133360.818,65430092,37.3430155,-122.0362497
391,FALSE,585160.014,4133359.272,65430097,37.3430204,-122.0385644
392,FALSE,584982.2969,4133356.876,65430104,37.3430151,-122.0405708
393,FALSE,584898.5021,4133356.015,65430108,37.343015,-122.0415168
394,FALSE,592075.0422,4133958.319,65430198,37.3477591,-121.9604323
395,FALSE,588054.5638,4128737.784,65430718,37.3010988,-122.0064386
396,FALSE,582197.0787,4131145.027,65430803,37.3233311,-122.0722566
397,FALSE,582233.5531,4131375.67,65430830,37.3254066,-122.0718194
398,FALSE,593024.129,4131250.411,65430886,37.3232597,-121.9500581
399,FALSE,592833.6966,4131254.71,65430888,37.3233175,-121.9522066
400,FALSE,592721.0651,4131252.741,65430894,37.323311,-121.9534779
401,FALSE,592640.0267,4131251.322,65430897,37.3233063,-121.9543926
402,FALSE,592362.5091,4131246.547,65430902,37.3232909,-121.957525
403,FALSE,592280.5174,4131245.598,65430908,37.3232905,-121.9584504
404,FALSE,592158.876,4131235.393,65430911,37.3232106,-121.9598244
405,FALSE,591949.1232,4131239.233,65430913,37.323266,-121.962191
406,FALSE,591895.9673,4131236.553,65430922,37.3232471,-121.9627912
407,FALSE,591768.7317,4131227.379,65430924,37.323177,-121.9642282
408,FALSE,591598.8671,4131224.431,65430928,37.3231672,-121.9661455
409,FALSE,591398.1764,4131220.474,65430934,37.3231513,-121.9684108
410,FALSE,591269.4016,4131217.504,65430937,37.3231372,-121.9698644
411,FALSE,591107.0627,4131222.471,65430938,37.3231979,-121.9716958
412,FALSE,590773.86,4131209.653,65430942,37.323115,-121.9754576
413,FALSE,590158.6756,4131204.159,65430949,37.3231254,-121.9824007
414,FALSE,590029.8372,4131202.995,65430951,37.3231274,-121.9838548
415,FALSE,589722.5413,4131203.657,65430953,37.3231631,-121.9873226
416,FALSE,589528.8683,4131192.307,65430956,37.3230795,-121.9895096
417,FALSE,589449.5963,4131190.628,65430959,37.323072,-121.9904044
418,FALSE,589260.786,4131192.74,65430965,37.3231092,-121.9925349
419,FALSE,588210.74,4131166.442,65430978,37.3229725,-122.004388
420,FALSE,587669.0785,4131168.63,65430982,37.3230435,-122.0105005
421,FALSE,587332.1246,4131164.399,65430985,37.3230371,-122.0143036
422,FALSE,586862.0972,4131157.334,65430988,37.3230175,-122.0196088
423,FALSE,586544.2418,4131152.866,65430993,37.3230069,-122.0231964
424,FALSE,586284.9286,4131150.444,65430995,37.3230092,-122.0261231
425,FALSE,585295.4259,4131136.754,65431012,37.3229772,-122.0372915
426,FALSE,584927.6173,4131132.682,65431017,37.3229742,-122.0414428
427,FALSE,584682.1047,4131127.321,65431020,37.3229483,-122.0442141
428,FALSE,584513.368,4131123.352,65431022,37.3229279,-122.0461188
429,FALSE,583980.6508,4131120.621,65431028,37.3229516,-122.052131
430,FALSE,583870.8127,4131111.431,65431035,37.3228787,-122.0533716
431,FALSE,583773.0425,4131111.163,65431039,37.3228851,-122.054475
432,FALSE,583674.4267,4131116.601,65431046,37.322943,-122.0555873
433,FALSE,583265.6591,4131118.306,65431058,37.3229951,-122.0602002
