from_node,to_node,distance,travel_time,highway,highway_group
231,1352,92.62359062,13.156336435500002,residential,group_4
231,230,308.6159769,42.365208675,secondary,group_3
232,233,91.00631587,12.6552866055,secondary,group_3
232,231,17.47196923,2.398461771,secondary,group_3
232,661,113.1062132,17.933082735,residential,group_4
233,234,51.98164808,7.228538463,secondary,group_3
233,232,91.00631587,12.492877395,secondary,group_3
234,235,50.70028291,7.0503525510000005,secondary,group_3
234,233,51.98164808,7.1357723925,secondary,group_3
234,1261,124.3527034,18.20969658,residential,group_4
235,4050,22.26750946,3.0965072205,secondary,group_3
235,234,50.70028291,6.9598731945,secondary,group_3
236,2319,76.93436134,13.122609415500001,residential,group_4
236,4050,165.2305819,22.6820016,secondary,group_3
236,214,138.6448781,19.27987803,secondary,group_3
237,238,81.22670416,13.076177019000001,residential,group_4
237,1257,74.97161337,11.4478720275,residential,group_4
237,686,254.783101,36.189616185000006,residential,group_4
238,239,77.8641982,12.938998221000002,residential,group_4
238,237,81.22670416,12.2657662035,residential,group_4
239,240,72.76910312,13.2984935715,residential,group_4
239,238,77.8641982,11.7580057035,residential,group_4
239,687,327.2192072,50.628502665,residential,group_4
240,239,72.76910312,11.986102329000001,residential,group_4
240,126,334.3901963,61.928343795,residential,group_4
240,1179,76.86396224,14.515543815000001,residential,group_4
241,1177,65.41823326,9.2920635015,residential,group_4
242,243,82.12269369,10.984177047000001,residential,group_4
243,1382,167.1772225,20.5981059,tertiary,group_3
243,1381,240.5943233,31.22121897,tertiary,group_3
244,243,83.24193238,11.133878857500001,residential,group_4
245,244,143.0682278,19.135840215,residential,group_4
246,251,20.79932893,3.846930627,residential,group_4
246,2013,86.73894765,14.9426860245,residential,group_4
246,247,74.5059859,13.544576058,residential,group_4
247,339,182.1500764,29.692491225,residential,group_4
247,248,146.6776473,26.6647911,residential,group_4
247,246,74.5059859,13.780221470999999,residential,group_4
248,2668,163.3738495,22.077252015,secondary,group_3
248,434,367.1184819,50.46164634,secondary,group_3
248,247,146.6776473,27.128698995,residential,group_4
249,250,98.35306362,18.262632104999998,residential,group_4
249,1954,104.307494,15.350489805,residential,group_4
249,1955,74.88103203,13.3383083505,residential,group_4
250,249,98.35306362,17.591088,residential,group_4
250,612,387.4787666,62.425926585,residential,group_4
250,251,68.81654297,12.510282079500001,residential,group_4
251,246,20.79932893,3.781147101,residential,group_4
251,250,68.81654297,12.7279330845,residential,group_4
252,1066,131.6640815,14.213096043,secondary,group_3
252,1065,74.51265007,7.4798288115,secondary,group_3
253,192,80.89731005,12.654485973,residential,group_4
253,254,179.4689803,26.399961420000004,residential,group_4
254,253,179.4689803,28.073710875000003,residential,group_4
254,2389,95.98549921,13.193523492,secondary,group_3
254,3654,35.29340196,4.8700898265,secondary,group_3
255,128,109.5322977,17.850310995,tertiary,group_3
255,256,91.8754681,14.505875568,residential,group_4
255,269,112.3516404,18.618011475,tertiary,group_3
256,255,91.8754681,14.976724598999999,residential,group_4
257,1573,55.54752845,7.6054521045,secondary,group_3
257,1344,79.59559354,11.068518039,secondary,group_3
258,259,63.53292537,9.0242727075,residential,group_4
258,2175,78.68540141,12.072383071500001,residential,group_4
258,2221,90.61710298,15.058198260000001,residential,group_4
259,258,63.53292537,9.8764076985,residential,group_4
260,2192,63.77043727,9.2827836375,tertiary,group_3
260,2189,147.3223731,22.980894735,tertiary,group_3
260,261,79.57683592,13.136452828500001,tertiary,group_3
261,262,277.3734139,45.788485125,tertiary,group_3
261,260,79.57683592,12.463613916,tertiary,group_3
262,263,95.55637564,15.834835095,tertiary,group_3
262,261,277.3734139,43.443234465,tertiary,group_3
262,2170,155.3186263,24.890407815,residential,group_4
262,2171,80.11835596,14.583087453000001,residential,group_4
263,262,95.55637564,15.223131405,tertiary,group_3
263,2246,90.05917564,14.284839438,residential,group_4
263,264,87.0974325,14.322801605999999,tertiary,group_3
264,1815,347.6201901,61.328416515,residential,group_4
264,3671,228.9682087,37.797809355,tertiary,group_3
264,263,87.0974325,14.040961221,tertiary,group_3
265,3424,22.89471673,3.7649385989999997,tertiary,group_3
265,3672,30.18025008,3.845780169,primary,group_2
265,3671,35.04734055,5.6499753825,tertiary,group_3
266,1561,78.48830437,13.3252500075,residential,group_4
266,1624,78.57670223,13.742952340499999,residential,group_4
267,266,70.82376458,9.4729085745,residential,group_4
268,2633,15.2936218,2.5440187905,tertiary,group_3
268,3195,130.6851433,17.869816125,secondary,group_3
268,4068,339.5074621,43.262433615,primary,group_2
269,270,106.3326852,17.261554245,tertiary,group_3
269,735,115.2235273,21.563410935,residential,group_4
269,332,95.20363567,15.88984665,residential,group_4
269,255,112.3516404,18.167511975,tertiary,group_3
270,271,109.4384072,17.69643564,tertiary,group_3
270,269,106.3326852,17.194233435,tertiary,group_3
271,270,109.4384072,17.69643564,tertiary,group_3
271,272,126.9168723,20.5227426,tertiary,group_3
272,871,315.1625746,44.535942015,residential,group_4
272,333,137.9356191,23.021976195,residential,group_4
272,273,67.56111562,10.967557716,tertiary,group_3
272,271,126.9168723,20.710232849999997,tertiary,group_3
273,3718,22.44530141,3.6436659825,tertiary,group_3
273,3719,66.85184074,12.6735759105,residential,group_4
273,272,67.56111562,11.1101375505,tertiary,group_3
274,1927,85.84946121,11.92261089,residential,group_4
274,275,177.7958425,28.975116480000004,tertiary,group_3
274,3718,22.05148794,3.6262732184999997,tertiary,group_3
275,1767,81.87178097,14.762814487499998,residential,group_4
275,276,207.1419432,33.757605614999996,tertiary,group_3
275,274,177.7958425,29.237768625,tertiary,group_3
276,1667,81.69937238,13.5763041075,residential,group_4
276,277,78.23093768,12.864744318,tertiary,group_3
276,275,207.1419432,34.063609815,tertiary,group_3
277,223,85.23237985,14.070063537000001,tertiary,group_3
277,276,78.23093768,12.864744318,tertiary,group_3
278,2121,53.62852039,9.6700949745,residential,group_4
278,1033,164.893225,28.767526350000004,residential,group_4
279,1625,130.2264421,24.27020331,residential,group_4
279,1624,90.48295446,15.76520898,residential,group_4
280,2929,45.61106348,5.309718399,primary,group_2
280,1653,68.98796821,8.031092814,primary,group_2
281,282,62.8742425,8.409634173,residential,group_4
281,1052,89.03646483,16.07638527,residential,group_4
281,1793,90.1486896,13.4861216985,residential,group_4
282,281,62.8742425,10.877357226,residential,group_4
283,284,52.53228093,7.026363219,residential,group_4
283,1538,68.92901873,11.5045137645,residential,group_4
283,1537,90.61340307,16.625660699999997,residential,group_4
284,283,52.53228093,7.4233897214999995,residential,group_4
285,1273,286.9378463,41.436250920000006,residential,group_4
285,1300,79.74684767,12.289376909999998,tertiary,group_3
285,1515,150.0049222,22.605875535,tertiary,group_3
286,829,361.3624602,35.453737395,secondary,group_3
287,2946,50.67048163,4.9713463545,secondary,group_3
287,1694,76.57139057,9.196840305,secondary,group_3
288,2342,81.82617646,10.944516903,residential,group_4
288,717,121.3246772,17.144512785,residential,group_4
289,846,237.1113112,39.213163064999996,residential,group_4
290,347,28.6661594,5.47629159,residential,group_4
290,291,146.3466926,20.680399065,residential,group_4
290,1262,115.0798118,21.114734024999997,residential,group_4
291,290,146.3466926,21.074358525,residential,group_4
292,293,250.2558834,36.81274422,residential,group_4
293,292,42.32918599,6.972216683999999,residential,group_4
293,1271,127.7992127,19.454270415,residential,group_4
294,295,69.67866025,11.4770626005,residential,group_4
295,657,82.58697561,14.086769616000002,residential,group_4
295,1925,82.72151906,14.6745321555,residential,group_4
295,294,69.67866025,9.3197471505,residential,group_4
296,297,118.2579219,16.71114648,residential,group_4
297,993,326.4975329,47.810950995,residential,group_4
297,992,85.2634233,12.693061241999999,residential,group_4
297,3738,200.8052239,28.522550955,residential,group_4
297,296,118.2579219,16.423436640000002,residential,group_4
298,299,49.68001165,8.2885362345,residential,group_4
299,298,49.68001165,8.134655197499999,residential,group_4
299,2749,103.8889684,17.467475505,residential,group_4
299,2013,125.0769415,19.57746831,residential,group_4
300,301,133.2902222,18.932660624999997,residential,group_4
300,1369,133.0711596,18.901544774999998,residential,group_4
301,300,133.2902222,18.932660624999997,residential,group_4
302,969,64.58878016,8.843361490500001,secondary,group_3
302,1573,100.3459499,13.954050816,secondary,group_3
302,303,86.70051269,14.1964293645,residential,group_4
303,304,124.8793004,17.646820185000003,residential,group_4
303,302,86.70051269,13.648001534999999,residential,group_4
303,2690,83.76820521,11.898509687999999,residential,group_4
304,303,124.8793004,19.32176307,residential,group_4
305,814,98.10840427,14.366589748500001,residential,group_4
305,2248,137.5505815,20.57738043,residential,group_4
306,2185,80.71686729,9.723775368,tertiary,group_3
307,367,81.68106442,12.278993043,residential,group_4
307,2912,55.43678452,7.41485001,residential,group_4
308,557,211.1178838,29.987370255,residential,group_4
308,556,75.91127021,12.344798796000001,residential,group_4
309,310,95.7021462,13.2909331575,residential,group_4
309,476,152.6397475,21.681084255,residential,group_4
309,475,192.8230951,25.790715329999998,residential,group_4
310,311,83.72300461,11.6272926165,residential,group_4
310,309,95.7021462,12.8004729315,residential,group_4
311,312,65.88969794,9.1506366975,residential,group_4
311,310,83.72300461,11.198223831,residential,group_4
312,1425,69.39448636,9.637375089,residential,group_4
313,2962,458.3901485,67.20081838499999,unclassified,group_4
313,319,402.0295151,69.827146905,residential,group_4
313,314,219.4831586,31.650775575,unclassified,group_4
314,313,219.4831586,33.28431687,unclassified,group_4
315,316,105.2233153,17.22249771,residential,group_4
315,583,743.4122747,105.05234003999999,residential,group_4
315,582,162.8750212,26.94670137,residential,group_4
316,317,63.14414833,9.6121354035,residential,group_4
316,315,105.2233153,17.40857028,residential,group_4
316,2877,99.54082483,14.963824287000001,residential,group_4
