node_index,is_stop_only,pos_x,pos_y,osmid,lat,lon,h3_id
207,False,583792.4579,4132508.575,65418390,37.3354778,-122.054098,872834728ffffff
208,False,595601.3669,4134337.906,65419089,37.3508235,-121.9205759,872834715ffffff
209,False,585141.6018,4129974.6,65419386,37.3125172,-122.0391608,87283472cffffff
210,False,585198.0044,4129976.927,65419388,37.312533,-122.0385241,87283472cffffff
211,False,585284.4712,4129960.664,65419392,37.3123785,-122.0375503,87283472cffffff
212,False,585320.9726,4129960.049,65419394,37.3123696,-122.0371385,87283472cffffff
213,False,585513.5864,4129962.668,65419398,37.3123755,-122.0349648,87283472effffff
214,False,585760.5272,4129956.561,65419404,37.3122977,-122.0321791,87283472effffff
215,False,588957.6534,4129699.571,65419414,37.309681,-121.9961348,872834723ffffff
216,False,588838.228,4129704.561,65419422,37.3097374,-121.9974817,872834723ffffff
217,False,588780.6736,4129712.062,65419423,37.3098105,-121.9981302,872834723ffffff
218,False,588667.8328,4129725.501,65419425,37.3099424,-121.9994018,872834723ffffff
219,False,588348.3141,4129760.815,65419426,37.3102911,-122.0030028,872834723ffffff
220,False,588259.4258,4129770.508,65419429,37.3103869,-122.0040046,872834723ffffff
221,False,588180.365,4129779.494,65419432,37.3104754,-122.0048956,872834723ffffff
222,False,588096.9028,4129788.181,65419435,37.3105616,-122.0058363,872834723ffffff
223,False,587926.4244,4129806.461,65419437,37.3107425,-122.0077577,872834723ffffff
224,False,587885.9018,4129803.351,65419439,37.3107183,-122.0082153,872834723ffffff
225,False,587679.5958,4129785.81,65419441,37.3105797,-122.0105452,872834723ffffff
226,False,587415.3936,4129761.09,65419442,37.3103818,-122.0135292,872834723ffffff
227,False,587225.2635,4129743.241,65419444,37.3102388,-122.0156766,87283472effffff
228,False,587037.4158,4129727.44,65419450,37.310114,-122.017798,87283472effffff
229,False,586737.9571,4129660.578,65419461,37.3095394,-122.0211847,87283472effffff
230,False,586557.626,4129696.759,65419468,37.3098823,-122.0232152,87283472effffff
231,False,586265.1908,4129796.875,65419481,37.3108118,-122.0265032,87283472effffff
232,False,586248.7166,4129802.775,65419483,37.3108665,-122.0266884,87283472effffff
233,False,586162.7831,4129833.157,65419485,37.3111483,-122.0276545,87283472effffff
234,False,586114.3916,4129852.343,65419488,37.3113257,-122.0281983,87283472effffff
235,False,586066.4508,4129869.082,65419491,37.311481,-122.0287373,87283472effffff
236,False,585889.334,4129931.373,65419493,37.3120588,-122.0307286,87283472effffff
237,False,586456.1516,4131879.691,65419671,37.3295657,-122.0241058,87283472effffff
238,False,586374.7618,4131879.56,65419672,37.3295721,-122.0250244,87283472effffff
239,False,586296.7508,4131878.29,65419675,37.3295679,-122.025905,87283472effffff
240,False,586223.8412,4131877.217,65419676,37.329565,-122.026728,87283472effffff
241,False,589130.7229,4134643.985,65419989,37.3542261,-121.9935877,872834701ffffff
242,False,589155.6028,4135195.64,65419992,37.3591955,-121.9932404,872834701ffffff
243,False,589145.4968,4135276.243,65419993,37.3599229,-121.9933448,872834701ffffff
244,False,589122.8076,4135355.801,65419995,37.3606421,-121.9935914,872834701ffffff
245,False,589122.3929,4135498.554,65419998,37.3619287,-121.9935789,872834701ffffff
246,False,582752.3412,4130815.216,65420298,37.3203093,-122.066027,87283472dffffff
247,False,582690.3949,4130853.471,65420301,37.3206596,-122.0667218,87283472dffffff
248,False,582685.8979,4130998.366,65420313,37.3219659,-122.0667564,87283472dffffff
249,False,582940.4893,4130814.781,65420319,37.3202886,-122.0639038,87283472dffffff
250,False,582841.9806,4130811.819,65420322,37.3202707,-122.0650158,87283472dffffff
251,False,582773.0306,4130812.713,65420327,37.3202849,-122.0657938,87283472dffffff
252,False,587297.7417,4129305.334,65420804,37.3062853,-122.0149103,872834721ffffff
253,False,585137.3695,4128747.277,65421660,37.3014561,-122.0393493,87283472cffffff
254,False,584957.553,4128744.708,65421662,37.3014494,-122.0413783,87283472cffffff
255,False,588026.7259,4130893.662,65422044,37.3205315,-122.006497,872834723ffffff
256,False,587934.6674,4130894.215,65422045,37.3205452,-122.0075358,872834723ffffff
257,False,584936.8563,4129839.986,65422051,37.3113227,-122.0414865,87283472cffffff
258,False,584824.1274,4131812.241,65422262,37.3291083,-122.042533,872834728ffffff
259,False,584760.4649,4131812.328,65422265,37.3291149,-122.0432515,872834728ffffff
260,False,586552.4832,4130380.446,65422389,37.3160446,-122.0231935,87283472effffff
261,False,586472.7602,4130378.824,65422391,37.3160374,-122.0240933,87283472effffff
262,False,586194.8393,4130375.57,65422392,37.3160339,-122.0272298,87283472effffff
263,False,586099.2995,4130378.093,65422394,37.3160655,-122.0283076,87283472effffff
264,False,586013.4588,4130391.436,65422399,37.3161937,-122.0292747,87283472effffff
265,False,585753.9531,4130370.943,65422406,37.316033,-122.0322054,87283472effffff
266,False,583993.3018,4129149.588,65422494,37.3051861,-122.0522113,87283472cffffff
267,False,583994.7192,4129078.936,65422497,37.3045492,-122.0522033,87283472cffffff
268,False,588022.3951,4131179.151,65422580,37.3231049,-122.006512,872834705ffffff
269,False,588028.0551,4130781.566,65422581,37.3195211,-122.0064953,872834723ffffff
270,False,588030.473,4130675.495,65422582,37.3185649,-122.0064806,872834723ffffff
271,False,588031.8336,4130566.307,65422583,37.3175807,-122.0064782,872834723ffffff
272,False,587991.6774,4130451.09,65422584,37.3165461,-122.006945,872834723ffffff
273,False,587955.9451,4130394.659,65422587,37.3160409,-122.0073549,872834723ffffff
274,False,587940.4705,4130353.465,65422590,37.3156711,-122.0075344,872834723ffffff
275,False,587936.2889,4130176.114,65422593,37.3140731,-122.0076026,872834723ffffff
276,False,587930.4999,4129969.509,65422594,37.3122116,-122.0076924,872834723ffffff
277,False,587927.9689,4129891.492,65422598,37.3115087,-122.0077302,872834723ffffff
278,False,584171.5239,4131802.08,65422807,37.3290761,-122.0498996,872834728ffffff
279,False,583918.2089,4129238.498,65422850,37.3059942,-122.0530485,87283472cffffff
280,False,594964.0676,4133488.353,65422916,37.3432325,-121.9278793,872834715ffffff
281,False,587600.6324,4130194.809,65423054,37.3142733,-122.0113879,872834723ffffff
282,False,587599.1083,4130132.092,65423057,37.3137082,-122.0114125,872834723ffffff
283,False,582353.1834,4131355.676,65423076,37.3252158,-122.0704715,87283472dffffff
284,False,582353.1585,4131303.261,65423079,37.3247434,-122.0704776,87283472dffffff
285,False,582514.9999,4130035.497,65423088,37.313303,-122.0687921,87283472dffffff
286,False,585222.1151,4137531.995,65423310,37.3806218,-122.0373831,872834708ffffff
287,False,591295.2359,4133789.082,65423398,37.3463109,-121.9692562,872834700ffffff
288,False,591005.6381,4133172.176,65423495,37.3407795,-121.9726011,872834700ffffff
289,False,583557.4336,4131106.023,65423528,37.3228582,-122.0569088,872834728ffffff
290,False,585321.4773,4132022.574,65423595,37.3309584,-122.0368956,872834728ffffff
291,False,585468.1155,4132024.048,65423597,37.3309582,-122.0352404,872834728ffffff
292,False,582763.7291,4129653.918,65423646,37.3098418,-122.066028,87283472dffffff
293,False,582769.1999,4129689.522,65423647,37.3101622,-122.0659623,87283472dffffff
294,False,588616.852,4130250.05,65423808,37.3146748,-121.9999144,872834723ffffff
295,False,588547.1224,4130253.607,65423809,37.3147135,-122.0007008,872834723ffffff
296,False,588314.4191,4130260.425,65423812,37.3147971,-122.0033258,872834723ffffff
297,False,588195.9489,4130263.06,65423814,37.3148321,-122.0046623,872834723ffffff
298,False,582620.5455,4130706.688,65423858,37.3193429,-122.0675264,87283472dffffff
299,False,582625.7041,4130755.947,65423860,37.3197864,-122.0674627,87283472dffffff
300,False,591189.8804,4135347.157,65423898,37.3603633,-121.9702537,872834703ffffff
301,False,591274.9889,4135292.551,65423903,37.3598628,-121.9692995,872834703ffffff
302,False,584935.502,4129995.375,65424122,37.3127233,-122.041484,87283472cffffff
303,False,584848.6577,4129993.03,65424124,37.3127101,-122.0424642,87283472cffffff
304,False,584726.0574,4129983.357,65424127,37.3126341,-122.0438487,87283472cffffff
305,False,583466.1946,4131806.844,65424462,37.3291827,-122.0578596,872834728ffffff
306,False,588287.0634,4129557.42,65424496,37.3084638,-122.0037181,872834723ffffff
307,False,586429.8355,4130612.108,65424537,37.3181439,-122.0245505,87283472effffff
308,False,588254.5834,4131989.367,65424823,37.330385,-122.0037953,872834705ffffff
309,False,588590.4173,4131988.388,65424827,37.3303442,-122.0000051,872834705ffffff
310,False,588494.9041,4131988.288,65424830,37.3303524,-122.0010831,872834705ffffff
311,False,588419.2238,4131952.636,65424832,37.3300383,-122.0019415,872834705ffffff
