rq_time,start,end,request_id,number_passenger,odt_bin,actual_travel_time,no_show_status,actual_pudo_boarding_duration,const_pudo_boarding_duration,pudo_alighting_duration
53820,1901,1267,281,2,"(3, 5, 'offpeak')",780.0,False,9.551392876510397,30,30
53940,2688,2816,282,1,"(3, 4, 'offpeak')",1320.0,False,49.32147286410268,30,30
54060,2308,1573,283,1,"(3, 1, 'offpeak')",300.0,False,28.70174514486937,30,30
54180,3971,1281,284,1,"(2, 1, 'offpeak')",720.0,False,109.4588190606895,30,30
54360,1971,3790,285,1,"(0, 1, 'offpeak')",540.0,False,91.8120158912288,30,30
54360,1468,225,286,1,"(0, 5, 'offpeak')",,False,4.623973226190171,30,30
54360,657,3562,287,1,"(2, 1, 'offpeak')",,False,110.03371146932466,30,30
54480,328,3174,288,1,"(3, 1, 'offpeak')",360.0,False,72.9423475035853,30,30
54480,3562,1503,289,1,"(3, 5, 'offpeak')",,False,42.10328637156118,30,30
54720,427,2311,290,1,"(3, 5, 'offpeak')",240.0,False,154.77694836725675,30,30
54840,2301,3671,291,1,"(3, 5, 'offpeak')",600.0,False,74.21858100873858,30,30
54840,3995,544,292,1,"(2, 5, 'offpeak')",,False,6.232202359034414,30,30
54960,427,748,293,1,"(3, 5, 'offpeak')",240.0,False,41.98372590528764,30,30
55020,825,2816,294,1,"(4, 4, 'offpeak')",,False,85.31940832419089,30,30
55200,2146,544,295,1,"(3, 5, 'offpeak')",540.0,False,58.625223558459886,30,30
55200,427,2228,296,1,"(3, 2, 'offpeak')",540.0,False,231.942981295047,30,30
55440,427,749,297,1,"(3, 5, 'offpeak')",240.0,False,4.763091710680511,30,30
55440,2906,3477,298,1,"(2, 5, 'offpeak')",,False,59.16378680534179,30,30
55440,1263,2687,299,1,"(3, 5, 'offpeak')",240.0,False,64.3283001238854,30,30
55500,674,2404,300,1,"(3, 1, 'offpeak')",360.0,False,15.17668002889789,30,30
55500,1179,624,301,2,"(3, 1, 'offpeak')",720.0,False,23.287277477278906,30,30
55800,2600,428,302,1,"(0, 1, 'peak')",480.0,False,71.34765547700215,30,30
55860,3299,1815,303,1,"(5, 5, 'peak')",,False,53.70660375460207,30,30
55920,1539,1405,304,2,"(3, 5, 'peak')",300.0,False,14.963533517343258,30,30
56100,129,3675,305,1,"(2, 5, 'peak')",240.0,False,11.82460175487492,30,30
56160,427,2069,306,1,"(3, 0, 'peak')",660.0,False,31.24485261026538,30,30
56340,2223,1815,307,1,"(3, 5, 'peak')",420.0,False,169.22866384733817,30,30
56400,1217,2515,308,1,"(3, 5, 'peak')",480.0,False,122.8571763516685,30,30
56460,1747,3562,309,1,"(2, 1, 'peak')",540.0,False,3.514634558926961,30,30
56580,427,2223,310,1,"(3, 1, 'peak')",300.0,False,12.01598925669826,30,30
56700,3475,427,311,1,"(3, 1, 'peak')",180.0,False,81.105998682966,30,30
